t,avg_absC2_LR,avg_absC2_LT,avg_absC2_LL
1.8400000000000000e+02,4.4468415908070371e-78,1.0719877072835057e-78,5.0969574703020463e-04
1.8500000000000000e+02,6.5646813932217767e-77,7.1632450599541943e-78,1.0312004396401176e-03
1.8600000000000000e+02,4.1465276060446891e-76,2.7454808085048069e-77,1.6550613733297792e-03
1.8700000000000000e+02,1.6087180107903338e-75,6.5115244138606709e-77,1.9413476680384405e-03
1.8800000000000000e+02,3.8833891458373180e-75,7.6417359397497878e-77,2.3450069946957456e-03
1.8900000000000000e+02,4.3793742545793940e-75,3.0684646885757429e-78,3.6573880415382634e-03
1.9000000000000000e+02,1.8848091929096276e-78,4.9916534953677421e-76,6.0074913644209867e-03
1.9100000000000000e+02,4.9907779856815072e-74,5.6814841403832117e-75,8.0424853576656560e-03
1.9200000000000000e+02,5.3518882337924400e-73,2.6939452493458136e-74,8.2694840825391271e-03
1.9300000000000000e+02,2.6088306014015989e-72,7.4205949475501689e-74,7.2757186016080885e-03
1.9400000000000000e+02,7.6816005185770261e-72,1.0869069842601591e-73,6.7278103300859116e-03
1.9500000000000000e+02,1.3045004987555607e-71,2.9548440527869252e-74,7.4215292730709813e-03
1.9600000000000000e+02,7.2663195723191130e-72,2.3065160840697639e-73,8.9515112242797550e-03
1.9700000000000000e+02,6.0997483567210855e-72,3.8673124470167854e-72,1.0130508010258261e-02
1.9800000000000000e+02,2.2383373149374409e-70,1.9876183048587060e-71,1.0148513897440495e-02
1.9900000000000000e+02,1.3383013880728616e-69,5.5442314246900501e-71,9.5009750910547593e-03
2.0000000000000000e+02,4.1089836254787663e-69,7.9494131121795835e-71,9.3337939728451950e-03
2.0100000000000000e+02,7.0853624232587165e-69,1.9906667196249623e-71,1.0282348667212811e-02
2.0200000000000000e+02,4.9039143029331825e-69,1.6577015786309632e-70,1.1886169057398742e-02
2.0300000000000000e+02,1.9099922207832998e-70,2.5466425498058213e-69,1.2678969855276943e-02
2.0400000000000000e+02,3.6460141540370567e-68,1.1983366573181154e-68,1.1606460090482539e-02
2.0500000000000000e+02,1.8841552444212224e-67,2.9616320407147995e-68,9.5089552321362385e-03
2.0600000000000000e+02,3.8943728415849748e-67,3.3960760298724312e-68,8.1190284128083573e-03
2.0700000000000000e+02,3.0980551629387673e-67,1.8514854297693546e-69,8.1821827338961484e-03
2.0800000000000000e+02,6.3002883516074358e-69,1.5254065350375800e-67,9.0844433749386680e-03
2.0900000000000000e+02,3.2700624371635260e-67,1.4869124987900958e-66,9.5947644623457264e-03
2.1000000000000000e+02,9.4357702946930386e-68,5.5103544491164905e-66,9.4212525549955597e-03
2.1100000000000000e+02,9.0647047686397842e-66,1.0423103061100991e-65,9.5778886129091571e-03
2.1200000000000000e+02,1.3458589946473896e-64,6.8786224360218898e-66,1.0604659666303065e-02
2.1300000000000000e+02,5.9756621542740437e-64,1.9264364829733788e-66,1.1053163839693250e-02
2.1400000000000000e+02,9.6369901088352559e-64,1.1464375246984973e-64,8.7720261279045711e-03
2.1500000000000000e+02,1.8585103876633823e-65,6.4568375523141328e-64,4.7508123725520449e-03
2.1600000000000000e+02,1.0004637824636519e-62,1.6594406496286656e-63,2.1232013240807699e-03
2.1700000000000000e+02,1.0463362930386380e-61,1.9232624499362510e-63,1.6212915367310177e-03
2.1800000000000000e+02,4.1939947148583652e-61,1.7251386903716787e-64,2.4147829477446587e-03
2.1900000000000000e+02,8.0100674899312361e-61,5.7039529888530518e-63,2.9434423766988840e-03
2.2000000000000000e+02,3.8810712210129753e-61,5.3106309167459797e-62,1.7120115548409718e-03
2.2100000000000000e+02,7.7946094200497223e-61,1.7074399968863638e-61,2.7286399818202606e-04
2.2200000000000000e+02,1.8741229387008511e-59,2.5493102665239058e-61,7.9215556313154302e-07
2.2300000000000000e+02,9.3031730938820182e-59,8.8150228522151070e-62,1.3767067694860338e-06
2.2400000000000000e+02,2.1600280458397830e-58,2.0265017875971014e-61,2.8756999700334473e-04
2.2500000000000000e+02,1.9454059626550229e-58,3.3736536820443932e-60,1.0670446815229863e-03
