t,Re_avg_C_LR,Im_avg_C_LR,Re_avg_C_LT,Im_avg_C_LT,Re_avg_C_LL,Im_avg_C_LL
1.1900000000000000e+02,-2.7043959809465539e-52,-1.2296587875627536e-52,1.0636893025726447e-87,-2.5796117262732282e-89,-5.2696716938299961e-03,6.3789976960117905e-04
1.2000000000000000e+02,-1.7758071824214164e-51,-8.1689685754021699e-52,6.2391013988750953e-87,2.6950313971085389e-87,3.9181390872746651e-03,-5.4477036336137580e-04
1.2100000000000000e+02,-1.1408119693995833e-50,-5.3092814748837587e-51,1.8933336636873863e-86,1.3045636672202087e-86,1.1607655088893252e-02,6.9940455801694602e-03
1.2200000000000000e+02,-7.1720966795420178e-50,-3.3768525667884065e-50,2.8043662192176158e-86,3.5055565055140712e-86,3.5210483305076999e-03,1.4759048490992792e-02
1.2300000000000000e+02,-4.4137717263478299e-49,-2.1023981689981626e-49,-4.8830755300424715e-86,3.8575621766392929e-86,-1.3247929935530083e-02,1.0419627395182882e-02
1.2400000000000000e+02,-2.6596226381879222e-48,-1.2816219716450497e-48,-4.7337876487675518e-85,-1.4758847014835633e-85,-1.7499358738356469e-02,-4.4146552381047468e-03
1.2500000000000000e+02,-1.5695976160303100e-47,-7.6517291947866081e-48,-1.6455128642763166e-84,-1.0029832170981662e-84,-2.0907388424563269e-03,-1.3919319788589568e-02
1.2600000000000000e+02,-9.0745189187346014e-47,-4.4753144378950848e-47,-2.9887385344758693e-84,-3.0913157808464705e-84,1.4553905723893108e-02,-7.6406572282284200e-03
1.2700000000000000e+02,-5.1408133726417578e-46,-2.5648303272753239e-46,1.3358821239785080e-84,-4.6769838286990787e-84,1.0982956962126252e-02,5.1612377008703634e-03
1.2800000000000000e+02,-2.8544092314367702e-45,-1.4406845646749771e-45,3.0670232167846657e-83,6.2639273076206485e-84,-8.6941556601282076e-03,6.4768270253616912e-03
1.2900000000000000e+02,-1.5537364721109266e-44,-7.9333337813108355e-45,1.1600327581207311e-82,6.4976183392870895e-83,-1.8197419802787339e-02,-6.8401869167302167e-03
1.3000000000000000e+02,-8.2930286263670899e-44,-4.2836886901875298e-44,2.2637634002083181e-82,2.1727457345867374e-82,-2.0396972058147923e-03,-1.7269716734407109e-02
1.3100000000000000e+02,-4.3412928813057856e-43,-2.2685674696245147e-43,-5.3629653212425940e-84,3.6662105589057600e-82,2.3216270891120501e-02,-7.5869498103521464e-03
1.3200000000000000e+02,-2.2294005943589149e-42,-1.1785579692464926e-42,-1.7760426342670963e-81,-2.2608828015923539e-82,2.7085738481297306e-02,1.6517333904090738e-02
1.3300000000000000e+02,-1.1233390360119935e-41,-6.0076842304713865e-42,-6.9212546766173666e-81,-3.7071521583977129e-81,1.4015722703338907e-03,3.0423314481425025e-02
1.3400000000000000e+02,-5.5548916661993016e-41,-3.0054484741884148e-41,-1.3535131498239427e-80,-1.2800366265295015e-80,-2.8857119204587299e-02,1.7558032762409005e-02
1.3500000000000000e+02,-2.6963010600593688e-40,-1.4758574458326557e-40,-1.0684808302013751e-81,-2.2074811992537756e-80,-3.2640401708731358e-02,-1.1611209959390110e-02
