t,avg_absC2_LR,avg_absC2_LT,avg_absC2_LL
7.1000000000000000e+01,8.0382616654771227e-212,1.0708590674648399e-245,3.7384500556712380e-03
7.2000000000000000e+01,8.9061768029702838e-209,3.0793784659551042e-243,2.3963784672318468e-03
7.3000000000000000e+01,8.8759221947837000e-206,7.8431921974488688e-241,1.4996414175035145e-03
7.4000000000000000e+01,7.9778691586105416e-203,1.7726755245826822e-238,2.2954767953871848e-03
7.5000000000000000e+01,6.4837002595575864e-200,3.5612416172442283e-236,1.4849490950729226e-03
7.6000000000000000e+01,4.7762659515702157e-197,6.3688072510510814e-234,1.4473541981578758e-03
7.7000000000000000e+01,3.1967487098702171e-194,1.0152292120894072e-231,2.8412834725331953e-03
7.8000000000000000e+01,1.9483542117114563e-191,1.4440952047007967e-229,3.1639321629405989e-03
7.9000000000000000e+01,1.0837119036904113e-188,1.8345721170224338e-227,3.1332426839223416e-03
8.0000000000000000e+01,5.5126120068043911e-186,2.0828551270189676e-225,3.2646245380854653e-03
8.1000000000000000e+01,2.5696597104802108e-183,2.1141305561064941e-223,3.1190837102622847e-03
8.2000000000000000e+01,1.0997977906302547e-180,1.9186066223221563e-221,3.0403267397808706e-03
8.3000000000000000e+01,4.3299471305795940e-178,1.5563370103772841e-219,2.9360961950281521e-03
8.4000000000000000e+01,1.5709735603025551e-175,1.1276867607109310e-217,2.2508138142517168e-03
8.5000000000000000e+01,5.2617185168874420e-173,7.2899917729450462e-216,1.3331868408931482e-03
8.6000000000000000e+01,1.6296259727443048e-170,4.1969622459155547e-214,1.2601875190711535e-03
8.7000000000000000e+01,4.6746967396055713e-168,2.1462479669792594e-212,1.3602769222304004e-03
8.8000000000000000e+01,1.2439511292363593e-165,9.7132669648357117e-211,6.9387247938537948e-04
8.9000000000000000e+01,3.0753423058646768e-163,3.8703840305173266e-209,8.3183967780671919e-04
9.0000000000000000e+01,7.0738769996252193e-161,1.3479726011347755e-207,1.4288902110537204e-03
9.1000000000000000e+01,1.5160299559265899e-158,4.0603449195662815e-206,1.1352053607569601e-03
9.2000000000000000e+01,3.0313513136329772e-156,1.0411026591175503e-204,1.4747373410270517e-03
9.3000000000000000e+01,5.6625942802267139e-154,2.2151700028100777e-203,1.8378677268456737e-03
9.4000000000000000e+01,9.8946198709175012e-152,3.7394876833483338e-202,1.4122214033958111e-03
9.5000000000000000e+01,1.6192846360523135e-149,4.5682043049730376e-201,1.5996868369782073e-03
9.6000000000000000e+01,2.4848859532992613e-147,3.1557085963449790e-200,1.3586925841491662e-03
9.7000000000000000e+01,3.5797379763229023e-145,4.9189880122666242e-200,7.3618378130121725e-04
9.8000000000000000e+01,4.8466770031228298e-143,5.5375927823285346e-198,8.5813995468027109e-04
9.9000000000000000e+01,6.1738543653879818e-141,3.5224536878070205e-196,5.4046069233279340e-04
1.0000000000000000e+02,7.4070453597587780e-139,9.5863241002089345e-195,2.1578169252849512e-04
1.0100000000000000e+02,8.3782406477035152e-137,1.5169864699862536e-193,3.9535430070095225e-04
1.0200000000000000e+02,8.9435370075540594e-135,1.3293335559112424e-192,2.3736506212963573e-04
