t,I,e_in,e_out
3.7835671342685368e+03,1.7086680169758700e-02,1.3415620907938883e-01,1.1706952890963013e-01
3.8156312625250498e+03,1.4410203007225800e-02,1.3326650101162368e-01,1.1885629800439788e-01
3.8476953907815628e+03,1.7245672930111922e-02,1.3420906106840719e-01,1.1696338813829527e-01
3.8797595190380757e+03,1.4476221097210668e-02,1.3328844658549213e-01,1.1881222548828146e-01
3.9118236472945887e+03,1.4086556642942227e-02,1.3315891526965010e-01,1.1907235862670787e-01
3.9438877755511016e+03,1.4570294519902910e-02,1.3331971824523309e-01,1.1874942372533018e-01
3.9759519038076146e+03,1.7138621262373976e-02,1.3417347521182368e-01,1.1703485394944971e-01
4.0080160320641280e+03,1.4603344882896552e-02,1.3333070476699735e-01,1.1872735988410080e-01
4.0400801603206410e+03,1.6829906774371198e-02,1.3407085308806438e-01,1.1724094631369318e-01
4.0721442885771539e+03,1.5331981776220555e-02,1.3357291648153621e-01,1.1824093470531566e-01
4.1042084168336669e+03,1.5831366082737580e-02,1.3373892060540582e-01,1.1790755452266824e-01
4.1362725450901798e+03,1.5939933114743204e-02,1.3377501019571530e-01,1.1783507708097210e-01
4.1683366733466928e+03,1.8245417056729829e-02,1.3454139359401296e-01,1.1629597653728313e-01
4.2004008016032058e+03,1.4525161999031228e-02,1.3330471540175598e-01,1.1877955340272475e-01
4.2324649298597187e+03,1.3985161541180374e-02,1.3312520975505274e-01,1.1914004821387236e-01
4.2645290581162317e+03,1.4478269749266942e-02,1.3328912759345507e-01,1.1881085784418813e-01
4.2965931863727446e+03,1.6023218919167526e-02,1.3380269586147142e-01,1.1777947694230390e-01
4.3286573146292576e+03,1.5782717343972588e-02,1.3372274890927741e-01,1.1794003156530482e-01
4.3607214428857715e+03,1.7690664862954703e-02,1.3435698421091699e-01,1.1666631934796229e-01
4.3927855711422844e+03,1.5087459646576970e-02,1.3349163302635178e-01,1.1840417337977481e-01
4.4248496993987974e+03,1.4648287905976401e-02,1.3334564461807516e-01,1.1869735671209876e-01
4.4569138276553103e+03,1.5810458956828671e-02,1.3373197070915513e-01,1.1792151175232646e-01
4.4889779559118233e+03,1.4899121525018003e-02,1.3342902612330593e-01,1.1852990459828792e-01
4.5210420841683363e+03,1.4731597731918455e-02,1.3337333826900627e-01,1.1864174053708781e-01
4.5531062124248492e+03,1.6323468919467815e-02,1.3390250424069153e-01,1.1757903532122371e-01
4.5851703406813622e+03,1.5478664307151752e-02,1.3362167633385016e-01,1.1814301202669841e-01
4.6172344689378751e+03,1.5418545410601475e-02,1.3360169175560122e-01,1.1818314634499974e-01
4.6492985971943881e+03,1.5867358615550567e-02,1.3375088515614739e-01,1.1788352654059682e-01
4.6813627254509011e+03,1.4856982160458332e-02,1.3341501825761393e-01,1.1855803609715559e-01
4.7134268537074140e+03,1.4820705296137632e-02,1.3340295919007869e-01,1.1858225389394106e-01
4.7454909819639270e+03,1.5420199280209546e-02,1.3360224153093769e-01,1.1818204225072815e-01
4.7775551102204399e+03,1.6471285316653927e-02,1.3395164101008536e-01,1.1748035569343143e-01
4.8096192384769538e+03,1.4895881129717431e-02,1.3342794895893334e-01,1.1853206782921591e-01
4.8416833667334668e+03,1.5991699948017649e-02,1.3379221840128028e-01,1.1780051845326263e-01
4.8737474949899797e+03,1.3386201744952628e-02,1.3292610498762400e-01,1.1953990324267137e-01
4.9058116232464927e+03,1.5335004388789666e-02,1.3357392125109724e-01,1.1823891686230757e-01
4.9378757515030056e+03,1.5035437313066002e-02,1.3347433988801319e-01,1.1843890257494719e-01
4.9699398797595186e+03,1.5894159983260603e-02,1.3375979440200639e-01,1.1786563441874578e-01
5.0020040080160315e+03,1.5907809301171222e-02,1.3376433167526777e-01,1.1785652237409655e-01
5.0340681362725445e+03,1.4774342734355350e-02,1.3338754745937562e-01,1.1861320472502027e-01
5.0661322645290575e+03,1.3163557578984145e-02,1.3285209415223295e-01,1.1968853657324881e-01
5.0981963927855704e+03,1.5293086067753647e-02,1.3355998686415901e-01,1.1826690079640537e-01
5.1302605210420834e+03,1.5159236304963464e-02,1.3351549284960504e-01,1.1835625654464157e-01
5.1623246492985963e+03,1.5900685104085280e-02,1.3376196346689548e-01,1.1786127836281020e-01
5.1943887775551093e+03,1.7263843547846464e-02,1.3421510130122261e-01,1.1695125775337614e-01
5.2264529058116223e+03,1.6025151568936608e-02,1.3380333830823329e-01,1.1777818673929669e-01
5.2585170340681361e+03,1.3939008635312458e-02,1.3310986771766034e-01,1.1917085908234788e-01
5.2905811623246491e+03,1.5905197327576059e-02,1.3376346340931933e-01,1.1785826608174327e-01
5.3226452905811620e+03,1.4726226400477313e-02,1.3337155274399248e-01,1.1864532634351517e-01
5.3547094188376750e+03,1.6989638285523509e-02,1.3412395065083471e-01,1.1713431236531120e-01
5.3867735470941880e+03,1.5156498949000036e-02,1.3351458290435292e-01,1.1835808395535288e-01
5.4188376753507009e+03,1.4581104001777145e-02,1.3332331150706173e-01,1.1874220750528458e-01
5.4509018036072139e+03,1.4987473147630895e-02,1.3345839575609547e-01,1.1847092260846458e-01
5.4829659318637268e+03,1.3988300176464033e-02,1.3312625309260315e-01,1.1913795291613911e-01
5.5150300601202398e+03,1.4265685424087030e-02,1.3321846082601618e-01,1.1895277540192915e-01
5.5470941883767528e+03,1.6042804454090884e-02,1.3380920643763825e-01,1.1776640198354736e-01
5.5791583166332657e+03,1.6785557301445153e-02,1.3405611054348948e-01,1.1727055324204433e-01
