t,avg_absC2_LR,avg_absC2_LT,avg_absC2_LL
6.5000000000000000e+01,4.0127757724652500e-231,1.3835499790223664e-261,1.4299692765296072e-02
6.6000000000000000e+01,8.9430892852328577e-228,8.7027334302722984e-259,1.4017680070177663e-02
6.7000000000000000e+01,1.7596509506833418e-224,4.7793187606143981e-256,1.4045186179609528e-02
6.8000000000000000e+01,3.0673723703332651e-221,2.2983939888730197e-253,1.7714861583449516e-02
6.9000000000000000e+01,4.7527537478584510e-218,9.7062337288803821e-251,1.6058364608180706e-02
7.0000000000000000e+01,6.5665587403690811e-215,3.6090071728649361e-248,1.5501522591430688e-02
7.1000000000000000e+01,8.1144756220919417e-212,1.1844142753485092e-245,1.7315398731405977e-02
7.2000000000000000e+01,8.9944164056960383e-209,3.4386910893177399e-243,1.3393497217465815e-02
7.3000000000000000e+01,8.9677452377881531e-206,8.8507188031691568e-241,1.2409932072198343e-02
7.4000000000000000e+01,8.0639815608473873e-203,2.0235302711498787e-238,1.5860581814320682e-02
7.5000000000000000e+01,6.5566670304088712e-200,4.1168394937578067e-236,1.3497964009963353e-02
7.6000000000000000e+01,4.8322680996838130e-197,7.4652567839530140e-234,1.3997589717107767e-02
7.7000000000000000e+01,3.2357731532414505e-194,1.2083143344882739e-231,1.8766469417013511e-02
7.8000000000000000e+01,1.9731006863052361e-191,1.7479076543251636e-229,1.7510592524003693e-02
7.9000000000000000e+01,1.0980235126832623e-188,2.2621761036321441e-227,1.7785753889716514e-02
8.0000000000000000e+01,5.5882569255114177e-186,2.6216869074695874e-225,2.0008831556179274e-02
8.1000000000000000e+01,2.6062756712142853e-183,2.7224639540996645e-223,1.7608832063814348e-02
8.2000000000000000e+01,1.1160611740290500e-180,2.5342159708122015e-221,1.7617058597645851e-02
8.3000000000000000e+01,4.3963551267698125e-178,2.1148402478504056e-219,1.8902419531772258e-02
8.4000000000000000e+01,1.5959475747449330e-175,1.5818918465265833e-217,1.5938498734225374e-02
8.5000000000000000e+01,5.3483700054641046e-173,1.0599607148736646e-215,1.4093005495088863e-02
8.6000000000000000e+01,1.6574114306566629e-170,6.3557493725690609e-214,1.4500821448091859e-02
8.7000000000000000e+01,4.7571715567490901e-168,3.4049661655076513e-212,1.2757626919298413e-02
8.8000000000000000e+01,1.2666482752205750e-165,1.6260024612704098e-210,1.0813319643844124e-02
8.9000000000000000e+01,3.1333422463466633e-163,6.8988558702639046e-209,1.1378784920696652e-02
9.0000000000000000e+01,7.2117020370328534e-161,2.5888872049659041e-207,1.1263986320982971e-02
